date,cruelty_free_cosmetics,cruelty_free_makeup,cruelty_free_skincare,vegan_cosmetics,cosmetics,vegan,the_body_shop,lush,elf,month,year,week,season_2,season_3,season_4,CFC_Lag1,CFC_RollingMean_3,Save_Ralph_Campaign,cruelty_free_cosmetics_log
2024-04-28,7,10,14,24,57,45,24,27,42,4,2024,17,True,False,False,10.0,9.666666666666666,0,2.0794415416798357
2024-05-05,11,9,19,23,56,42,24,27,41,5,2024,18,True,False,False,7.0,9.333333333333334,0,2.4849066497880004
2024-05-12,10,9,18,26,54,43,22,25,35,5,2024,19,True,False,False,11.0,9.333333333333334,0,2.3978952727983707
2024-05-19,11,8,13,24,52,43,21,26,43,5,2024,20,True,False,False,10.0,10.666666666666666,0,2.4849066497880004
2024-05-26,9,9,15,19,54,41,23,30,37,5,2024,21,True,False,False,11.0,10.0,0,2.302585092994046
2024-06-02,11,8,16,28,53,41,22,29,32,6,2024,22,False,True,False,9.0,10.333333333333334,0,2.4849066497880004
2024-06-09,7,7,12,16,53,43,21,29,43,6,2024,23,False,True,False,11.0,9.0,0,2.0794415416798357
2024-06-16,8,8,12,18,51,41,22,29,40,6,2024,24,False,True,False,7.0,8.666666666666666,0,2.1972245773362196
2024-06-23,8,7,16,21,51,40,21,27,36,6,2024,25,False,True,False,8.0,7.666666666666667,0,2.1972245773362196
2024-06-30,7,7,13,20,56,41,22,28,36,6,2024,26,False,True,False,8.0,7.666666666666667,0,2.0794415416798357
2024-07-07,9,6,12,26,54,41,24,27,39,7,2024,27,False,True,False,7.0,8.0,0,2.302585092994046
2024-07-14,8,7,17,25,55,43,25,30,41,7,2024,28,False,True,False,9.0,8.0,0,2.1972245773362196
2024-07-21,9,8,14,23,54,42,23,32,35,7,2024,29,False,True,False,8.0,8.666666666666666,0,2.302585092994046
2024-07-28,8,8,15,24,54,41,22,45,49,7,2024,30,False,True,False,9.0,8.333333333333334,0,2.1972245773362196
2024-08-04,7,7,13,17,54,41,21,41,51,8,2024,31,False,True,False,8.0,8.0,0,2.0794415416798357
2024-08-11,7,9,16,20,52,42,21,40,42,8,2024,32,False,True,False,7.0,7.333333333333333,0,2.0794415416798357
2024-08-18,6,8,11,17,54,42,21,36,47,8,2024,33,False,True,False,7.0,6.666666666666667,0,1.9459101490553132
2024-08-25,6,7,13,27,52,40,20,35,46,8,2024,34,False,True,False,6.0,6.333333333333333,0,1.9459101490553132
2024-09-01,8,7,14,23,52,40,21,37,57,9,2024,35,False,False,True,6.0,6.666666666666667,0,2.1972245773362196
2024-09-08,7,6,15,22,52,39,21,35,46,9,2024,36,False,False,True,8.0,7.0,0,2.0794415416798357
2024-09-15,8,8,14,16,52,40,21,38,52,9,2024,37,False,False,True,7.0,7.666666666666667,0,2.1972245773362196
2024-09-22,10,7,17,22,53,41,22,38,49,9,2024,38,False,False,True,8.0,8.333333333333334,0,2.3978952727983707
2024-09-29,9,6,15,23,55,40,22,37,47,9,2024,39,False,False,True,10.0,9.0,0,2.302585092994046
2024-10-06,7,8,14,25,56,43,21,41,54,10,2024,40,False,False,True,9.0,8.666666666666666,0,2.0794415416798357
2024-10-13,9,8,11,21,54,41,21,40,50,10,2024,41,False,False,True,7.0,8.333333333333334,0,2.302585092994046
2024-10-20,7,8,16,20,54,40,22,39,57,10,2024,42,False,False,True,9.0,7.666666666666667,0,2.0794415416798357
2024-10-27,9,8,14,30,53,42,23,39,56,10,2024,43,False,False,True,7.0,8.333333333333334,0,2.302585092994046
2024-11-03,8,8,13,22,58,39,26,43,48,11,2024,44,False,False,True,9.0,8.0,0,2.1972245773362196
2024-11-10,9,8,14,27,63,41,26,45,61,11,2024,45,False,False,True,8.0,8.666666666666666,0,2.302585092994046
